Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,12.185915,8.628501
output/mlm_0_sim_cse_5/model,5.8120246,7.6793838
output/mlm_0_sim_cse_5/model,7.166381,9.318901
output/mlm_0_sim_cse_5/model,8.993511,5.8275127
output/mlm_0_sim_cse_5/model,6.633456,7.0480475
output/mlm_0_sim_cse_5/model,9.042257,5.7978077
output/mlm_0_sim_cse_5/model,6.765677,5.550323
output/mlm_0_sim_cse_5/model,7.111654,7.0368
output/mlm_0_sim_cse_5/model,6.4756174,6.6765337
output/mlm_0_sim_cse_5/model,8.945403,8.394636
output/mlm_0_sim_cse_5/model,6.636216,9.505551
output/mlm_0_sim_cse_5/model,8.686439,8.162187
output/mlm_0_sim_cse_5/model,5.7860985,7.7234607
output/mlm_0_sim_cse_5/model,6.4360585,8.857478
output/mlm_0_sim_cse_5/model,9.724148,9.202212
output/mlm_0_sim_cse_5/model,8.5758505,8.842004
output/mlm_0_sim_cse_5/model,9.565583,9.014492
output/mlm_0_sim_cse_5/model,7.6820064,7.8138485
output/mlm_0_sim_cse_5/model,8.020014,8.466067
output/mlm_0_sim_cse_5/model,10.922726,10.862413
output/mlm_0_sim_cse_5/model,7.7748194,9.5648575
output/mlm_0_sim_cse_5/model,7.7996078,7.4571767
output/mlm_0_sim_cse_5/model,9.06426,7.948372
output/mlm_0_sim_cse_5/model,6.938942,9.716173
output/mlm_0_sim_cse_5/model,6.831193,10.7591915
output/mlm_0_sim_cse_5/model,9.22618,7.6799335
output/mlm_0_sim_cse_5/model,7.3191566,7.3665433
output/mlm_0_sim_cse_5/model,10.951985,2.8257124
output/mlm_0_sim_cse_5/model,6.728275,10.108097
output/mlm_0_sim_cse_5/model,7.916694,7.414909
output/mlm_0_sim_cse_5/model,8.579371,6.720428
output/mlm_0_sim_cse_5/model,5.497575,6.7753468
output/mlm_0_sim_cse_5/model,7.2325478,5.7768497
output/mlm_0_sim_cse_5/model,5.985572,9.792151
output/mlm_0_sim_cse_5/model,7.53153,9.5432
output/mlm_0_sim_cse_5/model,9.125462,5.964604
output/mlm_0_sim_cse_5/model,8.478153,7.480394
output/mlm_0_sim_cse_5/model,10.157887,6.884111
output/mlm_0_sim_cse_5/model,6.03208,9.789872
output/mlm_0_sim_cse_5/model,6.992156,10.001687
output/mlm_0_sim_cse_5/model,7.05894,9.420599
output/mlm_0_sim_cse_5/model,7.6101203,7.5253463
output/mlm_0_sim_cse_5/model,8.179584,8.417625
output/mlm_0_sim_cse_5/model,6.6834683,10.001084
output/mlm_0_sim_cse_5/model,6.1632004,10.318657
output/mlm_0_sim_cse_5/model,7.2986445,7.2522717
output/mlm_0_sim_cse_5/model,6.716975,7.006064
output/mlm_0_sim_cse_5/model,6.2637153,9.591539
output/mlm_0_sim_cse_5/model,6.710713,7.4033203
output/mlm_0_sim_cse_5/model,5.512192,6.787
output/mlm_0_sim_cse_5/model,6.704343,7.3857894
output/mlm_0_sim_cse_5/model,6.765681,7.641601
output/mlm_0_sim_cse_5/model,6.0319824,6.886683
output/mlm_0_sim_cse_5/model,8.260802,8.556575
output/mlm_0_sim_cse_5/model,6.01347,9.750809
output/mlm_0_sim_cse_5/model,6.683046,7.091444
output/mlm_0_sim_cse_5/model,6.290675,10.371668
output/mlm_0_sim_cse_5/model,6.9168773,7.154406
output/mlm_0_sim_cse_5/model,10.543494,11.51334
output/mlm_0_sim_cse_5/model,7.036933,9.113777
output/mlm_0_sim_cse_5/model,6.826652,7.891367
output/mlm_0_sim_cse_5/model,6.4727545,9.663494
output/mlm_0_sim_cse_5/model,8.671464,7.9396276
output/mlm_0_sim_cse_5/model,10.893327,10.875366
output/mlm_0_sim_cse_5/model,10.905919,10.877554
output/mlm_0_sim_cse_5/model,9.105343,8.216283
output/mlm_0_sim_cse_5/model,9.58315,6.73265
output/mlm_0_sim_cse_5/model,8.562545,10.461973
output/mlm_0_sim_cse_5/model,6.249566,6.160672
output/mlm_0_sim_cse_5/model,6.7277665,6.977115
output/mlm_0_sim_cse_5/model,6.4563265,9.950304
output/mlm_0_sim_cse_5/model,9.080881,8.212739
output/mlm_0_sim_cse_5/model,6.261107,10.234856
output/mlm_0_sim_cse_5/model,6.3738513,7.350725
output/mlm_0_sim_cse_5/model,6.8707294,10.759718
output/mlm_0_sim_cse_5/model,8.515522,8.993668
output/mlm_0_sim_cse_5/model,6.666901,10.150883
output/mlm_0_sim_cse_5/model,8.474423,8.840161
output/mlm_0_sim_cse_5/model,9.069551,8.159701
output/mlm_0_sim_cse_5/model,8.786936,7.361124
output/mlm_0_sim_cse_5/model,6.733262,7.411626
output/mlm_0_sim_cse_5/model,7.4216504,9.21135
output/mlm_0_sim_cse_5/model,6.5780315,10.1243305
output/mlm_0_sim_cse_5/model,6.793048,10.428775
output/mlm_0_sim_cse_5/model,6.9375257,7.0920534
output/mlm_0_sim_cse_5/model,6.0312414,9.804037
output/mlm_0_sim_cse_5/model,7.758909,7.9896636
output/mlm_0_sim_cse_5/model,7.2394133,8.819292
output/mlm_0_sim_cse_5/model,8.859566,8.491383
output/mlm_0_sim_cse_5/model,9.091835,5.81171
output/mlm_0_sim_cse_5/model,8.438163,6.9042826
output/mlm_0_sim_cse_5/model,6.494894,6.7177496
output/mlm_0_sim_cse_5/model,7.6348257,6.500624
output/mlm_0_sim_cse_5/model,7.747261,6.976073
output/mlm_0_sim_cse_5/model,6.2478933,6.1536975
output/mlm_0_sim_cse_5/model,8.696238,5.909597
output/mlm_0_sim_cse_5/model,10.592903,11.377165
output/mlm_0_sim_cse_5/model,8.323842,7.6215096
output/mlm_0_sim_cse_5/model,6.8582873,10.789953
output/mlm_0_sim_cse_5/model,6.1027017,9.648947
output/mlm_0_sim_cse_5/model,5.5773473,6.821914
output/mlm_0_sim_cse_5/model,6.412666,10.343484
output/mlm_0_sim_cse_5/model,6.334364,9.068317
output/mlm_0_sim_cse_5/model,6.2723618,7.510423
output/mlm_0_sim_cse_5/model,7.146577,7.084596
output/mlm_0_sim_cse_5/model,6.8491163,9.848094
output/mlm_0_sim_cse_5/model,6.9532056,7.905174
output/mlm_0_sim_cse_5/model,6.530438,10.13468
output/mlm_0_sim_cse_5/model,7.5876727,9.569006
output/mlm_0_sim_cse_5/model,7.1181507,5.5747633
output/mlm_0_sim_cse_5/model,7.0001273,7.9860783
output/mlm_0_sim_cse_5/model,7.2525682,7.4005957
output/mlm_0_sim_cse_5/model,6.734471,7.4558973
output/mlm_0_sim_cse_5/model,6.216133,10.212099
output/mlm_0_sim_cse_5/model,6.997127,7.1069245
output/mlm_0_sim_cse_5/model,6.6287975,10.517974
output/mlm_0_sim_cse_5/model,6.7127075,10.458409
output/mlm_0_sim_cse_5/model,9.437416,7.7147074
output/mlm_0_sim_cse_5/model,7.569812,6.432166
output/mlm_0_sim_cse_5/model,10.899502,10.866538
output/mlm_0_sim_cse_5/model,7.2293706,8.870195
output/mlm_0_sim_cse_5/model,5.823567,7.693021
output/mlm_0_sim_cse_5/model,7.0196013,7.894171
output/mlm_0_sim_cse_5/model,6.7566385,5.5545545
output/mlm_0_sim_cse_5/model,9.028784,7.556898
output/mlm_0_sim_cse_5/model,3.7803602,12.121052
output/mlm_0_sim_cse_5/model,9.005931,7.0786643
output/mlm_0_sim_cse_5/model,6.230115,7.35308
output/mlm_0_sim_cse_5/model,6.9141183,7.0054193
